Energy_keV,Angle_deg
1074.41,0
6103.81,4.54579
5914.11,1.64313
5944.25,1.40218
5536.4,0.558216
5619.72,5.64677
6553.12,4.38367
1710.49,0
4503.38,4.67949
3352.49,12.1082
96.7281,18.2662
6.3027,0
4196.92,3.68218
2847.9,2.86373
6520.7,3.39825
5782.97,1.83126
5145.25,2.24179
4717.99,3.53559
4286.01,3.14993
4257.04,2.92007
3992.21,1.50944
4365.43,2.73792
4809.3,4.36414
1666.53,12.7596
1535.8,1.59802
2838.02,1.18351
650.61,0.0791843
890.623,0.0490497
765.374,0.0612008
571.216,0.0332615
164.49,0.00861252
136.553,23.3751
700.758,0.0902489
718.274,0.0524146
763.708,0.0260862
701.763,0.0144946
868.789,0.0548257
1010.51,0.0554731
683.555,0.0236633
671.57,0.026624
687.877,0.0441267
714.611,0.273583
948.997,0.0269872
699.637,0.0185565
740.507,0.117793
730.386,0.12325
696.992,0.0503554
864.817,0.0749883
844.68,0.0921121
723.427,0.0643687
766.926,0.016125
706.222,0.0416383
874.188,0.019252
757.996,0.0536656
200.154,0.0283786
540.045,0.0718617
140.739,23.9233
163.423,2.29941
547.587,16.0757
217.553,24.0896
670.773,0.0317056
755.517,0.041449
725.465,0.0844754
746.839,0.0180072
728.659,0.075904
682.238,0.0565854
273.696,0.043907
343.808,0.0864263
407.777,48.9279
620.739,0
253.992,0.0210177
451.536,0.0375187
161.383,61.616
217.751,76.4874
82.9146,44.0214
83.5906,15.9693
72.2703,42.7649
32.4407,51.2394
47.1331,85.4975
41.2256,55.7314
52.1312,42.5248
29.6736,51.4561
58.0309,72.7564
87.7954,0
1008.96,0.0764177
183.533,0.0210868
585.331,0
5804.74,0.474191
558.405,0.084748
637.052,0.148446
525.072,0.0564008
6473.97,0
5675.2,2.74734
6394.81,6.30489
3090.85,0
6070.87,0
14725.3,0.805647
154.61,0
4683.45,3.70015
2387.92,1.76021
4089.38,3.13096
4628.05,5.12902
2831.43,2.06363
30.6069,0
434.891,0.96904
871.625,0.0398455
16202.2,1.6631
11968.1,0.413147
1028.79,0.0743937
736.163,0.0593603
663.151,0.0750734
1288.87,0.0580563
725.043,0.175559
726.859,0.087982
692.319,0.053599
639.605,0.0187623
1011.58,0.119951
839.549,0.0797106
782.887,0.121235
661.635,0.0793192
728.893,0.099177
782.605,0.0201654
918.019,0.122208
807.84,0.0378929
170.545,0.00930386
441.37,0.0608539
337.602,68.3799
370.799,68.978
93.4213,16.4786
490.183,0
619.224,0.0888953
26.4972,0.00521153
27.4589,1.18968
728.125,0.0465239
862.497,0.00205005
1174.42,0.0629922
775.711,0.0153899
690.514,0.0297771
1410.68,0.022631
4574.36,0
4627.69,2.64471
48.7845,62.85
4613.89,3.07653
3249.93,1.44621
19.8692,0
4478.62,3.47726
3973.31,3.12985
4030.24,5.24871
4694.65,3.97477
2769.01,14.206
10316.3,4.59739
5018.67,2.01618
132.945,0.273839
147.716,0.273712
145.983,0.0867197
771.802,0.0961192
636.39,0.0290673
816.675,0.0755807
745.784,0.0522931
1420.91,0.106096
999.178,0.0695982
764.498,0.0856706
718.019,0.0683856
869.248,0.0945589
1356.67,0.0795301
1192.62,0.00419631
682.022,0.125561
809.602,0.122856
775.744,0.0135714
1253.88,0.108332
608.964,0.0510263
621.155,0.055018
1060.5,0.11765
1215.3,0.0863559
991.036,0.0913694
663.089,0.0463193
1365.73,0.0702255
728.904,0.100577
665.544,0.131877
851.407,0.0600592
782.602,0.0568848
692.29,0.0275542
767.495,0.113405
299.088,0.0663256
1177.24,0.0432957
137.158,56.8981
176.305,43.327
174.758,37.8314
493.086,0
742.441,0.0424245
70.16,0.0332124
688.151,0.0689754
36.5441,20.858
57.5992,103.226
194.006,74.918
495.262,0
760.082,0.0641144
809.324,0.039825
678.275,0.0828752
1411.15,0.0664653
622.607,0.0278678
630.745,0.0414121
640.526,0.0822012
654.338,0.102273
796.281,0.0419449
782.046,0.0653661
785.802,0.0585835
696.787,0.0714931
743.919,0.0525738
177.549,0.0481887
75.5122,0
68.7314,0
516.415,0.211204
548.329,0.232126
464.621,0.314132
801.715,0.023456
708.305,0.0500674
549.397,0.127112
135.416,0.00369989
136.153,13.858
1226.08,0.0716108
43.261,0.0128261
671.923,0.0153933
33.9733,11.8935
52.6531,13.0258
65.3255,35.3263
71.3325,19.5677
117.612,48.4237
154.362,29.7347
205.613,53.2805
177.796,112.075
538.711,0
681.351,0.0613174
709.141,0.10768
752.239,0.105202
712.924,0.109488
749.541,0.0493032
970.926,0.124453
770.625,0.0364986
722.164,0.0392778
779.076,0.0521206
713.177,0.0791033
787.97,0.0586923
883.922,0.128231
786.348,0.205269
814.274,0.00423329
623.256,0.0298795
925.686,0.0441518
715.048,0.13021
784.591,0.011137
862.801,0.0737029
642.105,0.0450387
717.803,0.0389074
748.807,0.0175062
753.552,0.0333346
877.971,0.047557
809.334,0.0867871
701.612,0.0853965
760.477,0.218742
681.218,0.0837509
1303.87,0.032591
1119.49,0.105244
869.325,0.0748271
1264.34,0.0491559
860.33,0.0344233
628.975,0.07222
282.985,0.0586661
367.662,0.0226219
210.715,7.20576
247.426,16.87
184.61,37.9922
4.28455,7.87848
754.769,0.0461661
796.741,0.110928
1346.74,0.0352651
707.943,0.0212507
863.698,0.0356089
669.789,0.062942
843.495,0.0679532
741.933,0.0590618
1051.22,0.0869725
1014.1,0.0488339
590.072,0.0917999
104.637,0.0212336
143.041,5.93102
723.935,0.0708027
734.145,0.0272228
